username,week,commits,additions,deletions
claude,2025-08-02,3,244,47
denizsarac-open,2025-02-15,2,162,49
denizsarac-open,2025-02-22,8,444,140
denizsarac-open,2025-03-01,3,190,125
denizsarac-open,2025-03-08,1,48,1
denizsarac-open,2025-03-15,3,499,104
denizsarac-open,2025-03-22,1,18,1
denizsarac-open,2025-03-29,2,61,46
daveingle,2025-02-15,4,809,365
daveingle,2025-02-22,4,1614,679
daveingle,2025-03-01,5,2483,2355
daveingle,2025-03-08,3,139,27
daveingle,2025-03-15,4,204,49
daveingle,2025-03-22,1,1068,632
daveingle,2025-03-29,1,597,479
o-p-e-n-ios,2025-04-19,3,26,26
o-p-e-n-ios,2025-04-26,5,42,42
o-p-e-n-ios,2025-05-03,6,50,50
o-p-e-n-ios,2025-05-10,5,42,42
o-p-e-n-ios,2025-05-17,5,98,63
o-p-e-n-ios,2025-05-24,4,34,34
o-p-e-n-ios,2025-05-31,4,34,34
o-p-e-n-ios,2025-06-07,3,26,26
o-p-e-n-ios,2025-06-14,3,26,26
o-p-e-n-ios,2025-06-21,4,34,34
o-p-e-n-ios,2025-06-28,4,34,34
o-p-e-n-ios,2025-07-05,6,50,50
o-p-e-n-ios,2025-07-12,3,26,26
o-p-e-n-ios,2025-07-19,5,42,42
o-p-e-n-ios,2025-07-26,3,26,26
o-p-e-n-ios,2025-08-02,5,42,42
o-p-e-n-ios,2025-08-09,2,16,16
miroslav-open,2025-02-15,1,151,114
miroslav-open,2025-02-22,2,964,58
miroslav-open,2025-03-01,1,10,6
miroslav-open,2025-03-08,1,270,1018
miroslav-open,2025-03-15,1,87,41
miroslav-open,2025-03-22,2,855,214
miroslav-open,2025-03-29,2,843,57
miroslav-open,2025-04-05,5,77,23
miroslav-open,2025-04-12,1,3642,1671
miroslav-open,2025-04-26,2,2053,4
miroslav-open,2025-05-10,4,501,150
miroslav-open,2025-05-17,6,636,123
miroslav-open,2025-05-24,4,370,284
miroslav-open,2025-05-31,3,116,64
miroslav-open,2025-06-07,5,94,23
miroslav-open,2025-06-21,1,3625,24
miroslav-open,2025-06-28,2,58,23
miroslav-open,2025-07-05,2,214,15
miroslav-open,2025-08-02,4,150,39
patseng,2025-08-02,2,171,29
dejan-open,2025-02-15,1,7,2
dejan-open,2025-02-22,5,2729,958
dejan-open,2025-03-15,1,1131,467
dejan-open,2025-03-22,3,40,14
dejan-open,2025-03-29,4,543,300
dejan-open,2025-04-05,5,137,92
dejan-open,2025-04-12,6,3845,1738
dejan-open,2025-04-19,3,951,677
dejan-open,2025-04-26,7,5013,473
dejan-open,2025-05-03,10,1405,2080
dejan-open,2025-05-10,6,1717,2320
dejan-open,2025-05-17,4,372,78
dejan-open,2025-05-24,5,550,63
dejan-open,2025-05-31,5,225,111
dejan-open,2025-06-07,5,154,3932
dejan-open,2025-06-14,1,73,20
dejan-open,2025-06-21,2,3695,37
dejan-open,2025-06-28,6,1202,382
dejan-open,2025-07-05,15,829,400
dejan-open,2025-07-12,2,36,5
dejan-open,2025-07-19,4,48,17
dejan-open,2025-08-02,4,4780,798
milanopen,2025-02-15,4,160,64
milanopen,2025-02-22,5,967,679
milanopen,2025-03-01,3,90056,43158
milanopen,2025-03-08,3,345,158
milanopen,2025-03-15,4,88,84
milanopen,2025-03-22,3,2223,2111
milanopen,2025-04-05,8,50,59
milanopen,2025-04-12,2,3378,47
milanopen,2025-04-19,7,259,190
milanopen,2025-04-26,3,2877,441
milanopen,2025-05-03,6,411,125
milanopen,2025-05-10,7,370,241
milanopen,2025-05-17,10,470,137
milanopen,2025-05-24,3,21,4
milanopen,2025-05-31,3,36,13
milanopen,2025-06-07,3,177,3990
milanopen,2025-06-14,5,2549276,829788
milanopen,2025-06-21,5,834,276
milanopen,2025-06-28,4,2506,656
milanopen,2025-07-05,6,729,213
milanopen,2025-07-12,2,587,1959
milanopen,2025-07-19,6,1002,5289
milanopen,2025-07-26,2,17,13
milanopen,2025-08-02,8,870,469
milanopen,2025-08-09,3,87,53
openEngBot,2025-02-15,4,34,34
openEngBot,2025-02-22,4,34,34
openEngBot,2025-03-01,4,34,34
openEngBot,2025-03-08,5,42,42
openEngBot,2025-03-15,6,50,50
openEngBot,2025-03-22,4,34,34
openEngBot,2025-03-29,6,50,50
openEngBot,2025-04-05,5,42,42
openEngBot,2025-04-12,3,26,26
openEngBot,2025-04-19,1,8,8
geomuntean,2025-02-15,4,56,26
geomuntean,2025-02-22,3,445,92
geomuntean,2025-03-01,6,1596,1622
geomuntean,2025-03-08,6,166,774
geomuntean,2025-03-15,5,1287,572
geomuntean,2025-03-22,5,155,94
geomuntean,2025-03-29,9,3273,1298
geomuntean,2025-04-05,6,199,137
geomuntean,2025-04-12,3,87,47
geomuntean,2025-04-26,1,2817,433
geomuntean,2025-05-03,11,1939,862
